Meme,ExpectedQueries,Meaning,Context,Example,AntiPattern,Origin,SafetyLevel,TargetAge,Tone,Category
중꺾마,"꺾이지 않는 마음, 포기하지 마, 응원 문구, 끝까지 도전, 의지 강조, 세 글자 응원, 아직 안 끝난 상황, 포기 금지, 중요한 건 꺾이지 않는 마음, 졌잘싸랑 다른 점, 아직 안 끝난 상황",중요한 것은 꺾이지 않는 마음'의 줄임말. 결과가 절망적이어도 끝까지 포기하지 않는 의지를 뜻함.,"스포츠 경기에서 점수 차가 크게 벌어졌을 때나, 취업 준비/시험 등 장기적인 도전 중 슬럼프가 왔을 때 스스로를 다독이며 사용","""지금 성적은 안 좋지만 중꺾마 정신으로 기말고사까지 달려보자!""","이미 상황이 종료되어 돌이킬 수 없거나, 무모한 고집을 피워야 하는 부정적 상황에 남용하면 현실 감각이 없어 보일 수 있음.",2022년 LoL 월드 챔피언십 우승자 '데프트' 선수의 인터뷰 제목에서 유래되어 전국적인 유행어가 됨.,[낀세대: Safe] / [외국인: Safe] / [복학생: Safe] 매우 희망적이고 긍정적인 메시지로 격려 시 최고.,[전 연령대: 권장] 직장 상사가 팀원들에게 동기부여를 할 때 사용하기 가장 적합한 밈.,"의지, 열정, 끈기","스포츠, 도전, 마인드셋"
폼 미쳤다,"실력 대단함, 전성기, 솜씨 좋다, 실력 발휘, 최고의 상태","실력이나 외모, 상태가 최고조(전성기)에 달했을 때 사용하는 극찬의 표현.","동료가 발표를 완벽하게 해냈을 때, 혹은 친구의 오늘 옷차림이 매우 멋질 때 그 기량을 높게 평가하며 사용함.","""오늘 대리님 PT 보셨어요? 진짜 전달력 폼 미쳤다... 완전 소름 돋음.""",상황이 좋지 않거나 실력이 평범한데 비꼬는 의도로 사용하면 조롱이 될 수 있으므로 진심 어린 감탄일 때만 사용 권장.,인터넷 방송에서 게임 실력이 뛰어난 플레이어를 칭찬하던 용어가 대중화됨.,[낀세대: Safe] / [외국인: Safe] / [복학생: Safe] 상대방의 자존감을 높여주는 기분 좋은 칭찬임.,[10-30대: 주사용층] / [40-50대: 사용 권장] 칭찬에 박한 사회 분위기에서 가벼운 위트로 분위기를 띄우기 좋음.,"경탄, 찬사, 흥분","실력, 외모, 상태"
T발 너 C야?,"너 T야, 공감 능력 부족, 서운함 표현, 차가운 반응 대응","상대방의 무심하거나 논리적인 반응에 대해 ""너 혹시 MBTI가 T(이성형)라서 공감을 못 하니?""라고 묻는 도발적인 질문.","고민을 털어놨는데 해결책만 제시하거나 감정적 공감을 해주지 않을 때, 섭섭함을 유머러스하고 강렬하게 표현하고 싶을 때 사용.","""나 오늘 너무 힘들어서 울었어."" -> ""왜? 울면 해결돼?"" -> ""T발 너 C야? 사람이 울면 위로부터 해야지!""",[주의] 욕설(C발)이 연상되는 언어유희이므로 공적인 자리나 윗사람에게 사용 시 매우 위험함. 오해를 사기 쉬움.,MBTI 열풍과 함께 유튜버 '주현영' 등의 숏폼 콘텐츠를 통해 폭발적으로 유행함.,[낀세대: Danger] / [외국인: Danger] / [복학생: Caution] 친한 사이가 아니면 욕설로 오해받아 관계가 틀어질 수 있음.,[10-20대: 주사용층] / [30-40대: 유머로 사용] MBTI 문화를 모르는 세대에게는 절대 사용 금지.,"서운함, 도발, 유머","MBTI, 인간관계, 공감"
티발 너 씨야?,"너 T야, 공감 능력 부족, 서운함 표현, 차가운 반응 대응","상대방의 무심하거나 논리적인 반응에 대해 ""너 혹시 MBTI가 T(이성형)라서 공감을 못 하니?""라고 묻는 도발적인 질문.","고민을 털어놨는데 해결책만 제시하거나 감정적 공감을 해주지 않을 때, 섭섭함을 유머러스하고 강렬하게 표현하고 싶을 때 사용.","""나 오늘 너무 힘들어서 울었어."" -> ""왜? 울면 해결돼?"" -> ""T발 너 C야? 사람이 울면 위로부터 해야지!""",[주의] 욕설(C발)이 연상되는 언어유희이므로 공적인 자리나 윗사람에게 사용 시 매우 위험함. 오해를 사기 쉬움.,MBTI 열풍과 함께 유튜버 '주현영' 등의 숏폼 콘텐츠를 통해 폭발적으로 유행함.,[낀세대: Danger] / [외국인: Danger] / [복학생: Caution] 친한 사이가 아니면 욕설로 오해받아 관계가 틀어질 수 있음.,[10-20대: 주사용층] / [30-40대: 유머로 사용] MBTI 문화를 모르는 세대에게는 절대 사용 금지.,"서운함, 도발, 유머","MBTI, 인간관계, 공감"
알잘딱깔센,"알아서 잘, 일 잘하는 사람, 센스 있는 행동, 효율적인 업무",알아서 잘 딱 깔끔하고 센스 있게'의 줄임말. 구구절절 설명하지 않아도 스스로 일을 완벽하게 처리하는 태도.,"신입 사원이 지시하지 않은 부분까지 미리 준비해두었을 때나, 친구들끼리 여행 계획을 짤 때 손발이 척척 맞는 상황에서 사용.","""우리 막내 사원은 말 안 해도 자료 다 정리해놨네. 진짜 알잘딱깔센이다!""",'알아서 해라'는 식으로 책임을 전가하는 맥락에서 사용하면 방임으로 비쳐 부정적일 수 있음.,"스트리머 '우왁굳'이 팬들과 소통하며 만든 신조어로, 아이돌들이 사용하며 대중화됨.",[낀세대: Safe] / [외국인: Safe] / [복학생: Safe] 일 처리에 대한 최고의 찬사 중 하나로 통함.,[10-30대: 주사용층] / [40-50대: 이해 필수] 사무실에서 효율성을 강조할 때 센스 있는 표현으로 활용 가능.,"신뢰, 만족, 감탄","업무 능력, 센스, 일상"
갓생,"부지런한 삶, 자기계발, 바른 생활, 인생 열심히 살기",신(God)과 인생(生)의 합성어. 남들에게 본보기가 될 만큼 부지런하고 생산적인 삶을 사는 것.,"아침 일찍 일어나 운동하고, 업무에 집중하며 저녁엔 공부까지 하는 등 자기관리에 철저한 사람을 칭송하거나 본인의 의지를 다질 때 사용.","""퇴근하고 영어 학원 가려고. 올해는 진짜 갓생 살기로 마음먹었어.""","남들의 휴식을 게으름으로 비하하며 ""너는 왜 갓생 안 사니?""라고 훈계하는 태도는 전형적인 꼰대처럼 보일 수 있음.",2020년 코로나19 이후 무너진 일상을 회복하려는 젊은 세대의 자기계발 열풍에서 유래.,[낀세대: Safe] / [외국인: Safe] / [복학생: Safe] 건전한 가치관을 담고 있어 직장 내에서도 장려할 만한 단어임.,[전 연령대: 권장] 삶에 대한 열정을 나타내므로 모든 세대가 긍정적으로 사용 가능.,"열정, 성실, 동경","자기계발, 라이프스타일"
핑계고,"핑계 대기, 유재석 유튜브, 대화 중심, 편안한 대화","유튜브 채널 '뜬뜬'의 콘텐츠 명칭이지만, 최근엔 '핑계 삼아 모여서 수다나 떨자'는 의미의 대명사로 쓰임.","진지한 회의보다는 가벼운 티타임이나 명분이 부족한 모임을 만들고 싶을 때 ""커피 한잔을 핑계로 수다 떨자""는 맥락에서 사용.","""오늘 팀장님 안 계시니까 우리 핑계고 컨셉으로 점심 길게 먹고 올까요?""",진지하게 잘못을 추궁받는 자리에서 변명을 늘어놓으며 사용하면 태도 불량으로 간주됨.,유재석이 지인들과 자유롭게 대화하는 유튜브 채널 '핑계고'의 인기로 대중화됨.,[낀세대: Safe] / [외국인: Safe] / [복학생: Safe] 가벼운 소통을 유도하는 위트 있는 표현임.,[전 연령대: 권장] 부담 없는 대화를 원할 때 아이스브레이킹 용도로 적합함.,"편안함, 유머, 친근함","미디어, 소통, 일상"
오운완,"오늘 운동 완료, 헬스 인증, 자기관리 성공, 꾸준함",오늘 운동 완료'의 줄임말. 하루의 운동 목표를 달성했음을 인증하는 말.,"헬스장, 필라테스, 러닝 등을 마치고 SNS에 인증 사진을 올릴 때 혹은 지인에게 하루를 마무리하는 뿌듯함을 전할 때 사용.","""피곤해서 갈까 말까 고민했는데 결국 해냈다. 오운완!""","운동을 하지 않았으면서 보여주기식으로 단어만 사용하거나, 남의 운동량을 무시하는 맥락에선 부적절함.",인스타그램 등 SNS의 해시태그(#오운완) 문화에서 시작되어 일상 용어로 정착.,[낀세대: Safe] / [외국인: Safe] / [복학생: Safe] 성취감을 나누는 건강한 단어로 사내 동호회 등에서 쓰기 좋음.,[10-40대: 주사용층] / [50대 이상: 권장] 건강 관리라는 공통 관심사를 나누기에 최적의 단어.,"성취감, 뿌듯함, 의지","건강, 루틴, SNS"
디토,"나도 그래, 동감이야, 뉴진스 노래, 동의 표현","'Ditto'(나도 마찬가지)라는 영어 단어로, 상대방의 의견에 강력하게 동의하거나 공감함을 뜻함.","누군가 ""오늘 점심 메뉴 진짜 맛있다""고 했을 때 ""디토!""라고 답하며 나도 똑같이 생각한다는 것을 세련되게 표현.","""이번 프로젝트 방향성 너무 좋은 것 같아요."" -> ""완전 디토! 저도 그렇게 생각했어요.""",전혀 동의하지 않는데 유행어라고 남발하면 주관이 없어 보일 수 있음. 노래 제목으로만 아는 사람에겐 의도 전달이 안 될 수 있음.,"영어권 고전어이나, 아이돌 '뉴진스'의 곡 'Ditto'가 세계적으로 히트하며 MZ 세대의 일상 공감 표현으로 등극.",[낀세대: Safe] / [외국인: Safe] / [복학생: Safe] 동의의 표현이므로 긍정적인 커뮤니케이션에 도움이 됨.,[10-30대: 주사용층] / [40대 이상: 트렌디함] 짧고 간결하게 공감을 표시하고 싶을 때 사용하면 센스 있어 보임.,"공감, 세련됨, 간결함","일상 대화, 팝컬처"
추구미,"내가 되고 싶은 모습, 이상향, 스타일 타겟, 목표 이미지","내가 추구하는 미(美)적 기준이나 스타일. 즉, 자신이 지향하는 이미지나 분위기를 뜻함.","옷을 쇼핑하거나 헤어스타일을 바꿀 때 ""내 이번 가을 추구미는 시크한 비즈니스 우먼이야""처럼 자신의 목표를 설명할 때 사용.","""요즘 제 추구미는 조용하지만 카리스마 있는 리더예요. 그래서 말투도 바꾸려고 노력 중이에요.""",본인의 실제 모습과 너무 괴리가 큰 이미지만 쫓으며 허세를 부릴 때 조롱의 의미로 쓰일 수 있으니 주의.,패션 커뮤니티에서 자신의 스타일 가이드를 '추구하는 미'라고 부르던 것이 줄임말로 정착.,[낀세대: Safe] / [외국인: Safe] / [복학생: Safe] 자기표현이 확실한 세대적 특성을 잘 보여주는 단어임.,[10-30대: 주사용층] / [40대 이상: 이해 필요] 후배들의 취향이나 가치관을 물어볼 때 유용하게 활용할 수 있음.,"지향, 개성, 진지함","패션, 가치관, 자기표현"
오히려 좋아,"전화위복, 긍정적 역전, 위기를 기회로, 마인드 컨트롤","나쁜 일이 생겼을 때 실망하지 않고, 그 상황 때문에 더 좋은 결과가 생길 것 같다고 정신 승리 혹은 긍정적으로 해석하는 것.","약속 장소에 식당이 문을 닫았을 때 ""오히려 좋아! 옆집 가보고 싶었는데 잘됐다""며 분위기를 반전시킬 때 사용.","""버스 놓쳤네? 오히려 좋아. 좀 걷다 보면 기분 전환도 되고 좋지 뭐.""","진지하게 타인이 손해를 입은 상황에서 옆사람이 ""오히려 좋아""라고 말하면 상대방을 놀리는 것처럼 들려 크게 싸울 수 있음.",침착맨(이말년) 등 인기 스트리머들이 게임 상황에서 위기를 긍정적으로 승화시키며 유행함.,"[낀세대: Safe] / [외국인: Safe] / [복학생: Safe] 럭키비키와 결이 비슷하며, 위기 대처 능력이 좋아 보이는 단어임.",[전 연령대: 권장] 업무 중 예상치 못한 변수가 발생했을 때 팀의 사기를 꺾지 않는 최고의 멘트.,"낙천적, 유머, 반전","마인드셋, 일상 대화"
졌잘싸,"졌지만 잘 싸웠다, 아쉬운 패배, 결과보다 과정, 위로의 말, 스포츠 응원, 세 글자 위로, 미팅 실패 위로, 결과는 안 좋지만 노력, 결과보단 과정, 졌지만 잘 싸웠다, 세 글자 위로, 미팅 실패, 결과는 안 좋지만 노력, 중꺾마와 차이점, 결과보다 과정",졌지만 잘 싸웠다'의 줄임말. 결과는 패배했으나 최선을 다한 과정에 박수를 보낼 때 사용함.,"스포츠 경기나 경쟁 상황에서 팀이 졌을 때 선수들을 격려하거나, 본인이 노력한 프로젝트가 실패했을 때 스스로를 다독이며 사용, 미팅이나 프로젝트 결과가 좋지 않을 때 팀장이 팀원에게 주는 위로","""비록 우승은 못 했지만 우리 팀 오늘 경기력은 최고였어. 진짜 졌잘싸다!""",[중요] 실력이 형편없어서 당연히 질 만한 경기에 사용하면 비꼬는 조롱이 됨. '발컨'과는 정반대의 긍정적 격려 상황에만 써야 함.,2002년 월드컵 등 주요 스포츠 경기 후 네티즌들이 선수들을 격려하며 정착된 용어.,[낀세대: Safe] / [외국인: Safe] / [복학생: Safe] 격려와 위로의 정서가 담겨 있어 직장 내에서도 사용 권장.,[전 연령대: 권장] 부하 직원의 실패를 따뜻하게 감싸 안을 때 가장 세련된 표현 중 하나.,"격려, 감동, 아쉬움","스포츠, 위로, 마인드셋"
H워얼V,"사랑해 암호, 거꾸로 읽기, 고백 멘트, 문자 암호, 귀여운 고백",글자를 뒤집어 보면 '사랑해'가 되는 일종의 문자 놀이이자 암호형 고백 표현.,"연인이나 친구에게 직접적으로 ""사랑해""라고 말하기 쑥스러울 때, 위트 있게 애정을 표현하는 암호로 사용함.","""오늘 고생 많았어. 내 마음 알지? H워얼V!""",이 암호를 모르는 사람에게 사용하면 단순한 오타나 스팸으로 오해받을 수 있음. 너무 진지한 사과 상황에선 가벼워 보일 수 있음.,"글자 '사랑해'를 180도 회전시켰을 때 영어 알파벳 H, V와 한글 '워, 얼'처럼 보이는 시각적 유희에서 탄생.",[낀세대: Safe] / [외국인: Safe] / [복학생: Safe] 공격성이 전혀 없는 귀여운 애정 표현임.,[10-20대: 주사용층] / [30대 이상: 센스 문구] 연인 사이나 친밀한 관계에서 아날로그 감성의 위트를 줄 때 효과적임.,"애정, 위트, 귀여움","연애, 문자, 유희"
억까,"억지 비난, 억지로 까기, 불운한 상황, 말도 안 되는 비난, 억울함","억지로 까다(비난하다)'의 줄임말. 근거 없이 비난하거나, 상황이 억울하게 나쁘게 돌아갈 때 사용함.","게임 중 도저히 피할 수 없는 운 나쁜 상황에 처하거나, 직장에서 사소한 실수로 과도하게 비난받을 때 억울함을 호소하며 사용.","""이건 내 잘못이 아니라 날씨가 억까하는 수준인데? 갑자기 비가 이렇게 온다고?""","본인이 명백히 잘못했음에도 불구하고 비판을 피하기 위해 ""이거 억까야""라고 말하면 책임 회피로 보임.",인터넷 방송인들이 불합리한 게임 데스 상황을 '억지로 까인다'고 표현하며 확산됨.,[낀세대: Caution] / [외국인: Safe] / [복학생: Safe] 자신을 방어할 때 유용하나 타인에게 쓰면 공격적일 수 있음.,[10-30대: 주사용층] / [40대 이상: 이해 필요] 불합리한 상황에 대한 공감을 유도할 때 젊은 층과 소통하기 좋음.,"억울함, 항의, 유머","커뮤니티, 사회생활, 운"
사바사,"사람마다 다름, 개인차, 케바케 동의어, 상황별 차이, 사람 바이 사람",사람 By 사람'의 줄임말. 모든 것은 사람마다 기준이나 결과가 다르다는 뜻.,"어떤 결정이나 평가를 내릴 때 ""그건 사바사라서 딱 잘라 말하기 어렵네""처럼 보편화하기 어려운 개인차를 강조할 때 사용.","""이 영양제가 효과가 있나요?"" -> ""글쎄요, 그건 워낙 사바사라 직접 드셔보셔야 알 것 같아요.""","보편적인 상식이나 규범이 필요한 상황에서 무책임하게 ""사바사""라고 답하면 결단력이 부족해 보일 수 있음.",'Case by Case(케바케)'의 형식을 빌려와 한국식으로 변형된 조어.,[낀세대: Safe] / [외국인: Safe] / [복학생: Safe] 논리적이고 중립적인 표현으로 비즈니스 대화에서도 무난함.,[전 연령대: 권장] 세대 차이를 인정하고 다양성을 존중하는 맥락에서 쓰기 매우 좋은 단어.,"중립, 분석, 객관적","일상 대화, 판단, 가치관"
